label,riverLabel,countryLabel
平戶城,Hirado Castle,Japan
斯基博古堡,Skibo Castle,United Kingdom
阿讷西城堡,château d'Annecy,France
捷克克鲁姆洛夫城堡,Český Krumlov Castle,Czech Republic
特倫欽城堡,Trenčín Castle,Slovakia
普拉特恩城堡,Q1334241,Switzerland
松山城,Matsuyama Castle,Japan
華威城堡,Warwick Castle,United Kingdom
鼓樓城堡,Drum Castle,United Kingdom
諾里奇城,Norwich Castle,United Kingdom
本津城堡,Będzin Castle,Poland
奧爾西尼-奧德斯卡爾基堡,Castello Orsini-Odescalchi,Italy
奇蘭姆城堡,Castle Tioram,United Kingdom
格羅布瓦城堡,Château de Grosbois,France
圣安德烈斯城堡,Castillo de San Andrés,Spain
威克堡,Wik Castle,Sweden
弗林特城堡,Flint Castle,United Kingdom
龐特弗雷特城堡,Pontefract Castle,United Kingdom
巴爾德堡,Fort Bard,Italy
施皮茨城堡,Spiez Castle,Switzerland
西斯蒙多堡,Castel Sismondo,Italy
吉斯城堡,Q1869481,France
诺曼王宫,Palazzo dei Normanni,Italy
科尼斯伯勒堡,Conisbrough Castle,United Kingdom
里奇伯勒堡,Richborough Castle,United Kingdom
布爾黛西埃爾城堡,Château de la Bourdaisière,France
达勒姆城堡,Durham Castle,United Kingdom
都柏林城堡,Dublin Castle,Ireland
聖邁克爾山,St Michael's Mount,United Kingdom
圣埃莫堡,Castel Sant'Elmo,Italy
坎內羅堡,Castelli di Cannero,Italy
吉田郡山城,Yoshida-Kōriyama Castle,Japan
克雄日城堡,Książ,Poland
安土城,Azuchi Castle,Japan
阿普比城堡,Appleby Castle,United Kingdom
圣殿塔,Temple (Paris),France
克劳斯·吕斯城堡,Clos Lucé,France
圣胡安城堡 (圣克鲁斯-德特内里费),Castillo de San Juan Bautista,Spain
卡斯泰爾諾拉沙佩爾城堡,Château de Castelnaud-la-Chapelle,France
原城,Hara Castle,Japan
古堡博物館,Castelvecchio Museum,Italy
邓韦根城堡,Dunvegan Castle,United Kingdom
圣若热城堡,Castle of São Jorge,Portugal
熊本城,Kumamoto Castle,Japan
索米爾城堡,Château de Saumur,France
松前城,Matsumae Castle,Japan
默東城堡,Château de Meudon,France
阿雷契斯城堡,Q1174435,Italy
加迪夫城,Cardiff Castle,United Kingdom
采西斯城堡,Cēsis Castle,Latvia
伊埃斯科城堡,Egeskov Castle,Denmark
座堂山城堡,Toompea Castle,Estonia
卡普阿城堡,Castel Capuano,Italy
伏見城,Fushimi Castle,Japan
科諾皮什切城堡,Konopiště,Czech Republic
巴士底狱,Bastille,France
班菲城堡,Bonțida Bánffy Castle,Romania
锡尔维什城堡,Castle of Silves,Portugal
二條城,Nijō Castle,Japan
霍爾洛克城堡,Hollókő Castle,Hungary
霍恩斯特維茨城堡,Hochosterwitz Castle,Austria
埃格勒城堡,Aigle Castle,Switzerland
斯卡伯勒城堡,Scarborough Castle,United Kingdom
特拉凯城堡,Trakai Island Castle,Lithuania
登比城堡,Denbigh Castle,United Kingdom
克雷格瓦城堡,Craigievar Castle,United Kingdom
羅切斯特城堡,Rochester Castle,United Kingdom
什魯斯伯里城堡,Shrewsbury Castle,United Kingdom
Läckö城堡,Läckö Castle,Sweden
布列塔尼公爵城堡,Château des ducs de Bretagne,France
波切斯特城堡,Portchester Castle,United Kingdom
蛋堡,Castel dell'Ovo,Italy
黑暗城堡,Blackness Castle,United Kingdom
默納爾城堡,Château de Menars,France
格迪米納斯塔,Gediminas' Tower,Lithuania
斯庫克洛斯特城堡,Skokloster Castle,Sweden
塔拉斯普城堡,Tarasp Castle,Switzerland
奥伯霍芬城堡,Oberhofen Castle,Switzerland
马焦雷古堡,Rocca Maggiore,Italy
多佛爾城堡,Dover Castle,United Kingdom
科夫城堡,Corfe Castle,United Kingdom
卡瑟爾岩,Rock of Cashel,Ireland
布拉夫城堡,Brough Castle,United Kingdom
史高比耶要塞,Skopje Fortress,Republic of Macedonia
普雷尼城堡,Q2044804,France
蘭斯蒂芬城堡,Llansteffan Castle,United Kingdom
費特熱索城堡,Fetteresso Castle,United Kingdom
比布鲁斯城堡,Byblos Castle,Lebanon
阿尼克城堡,Alnwick Castle,United Kingdom
鲁昂城堡,Rouen Castle,France
内庭,Binnenhof,Netherlands
好望堡 (迦納),Fort Goede Hoop,Ghana
迪爾城堡,Deal Castle,United Kingdom
皇家城堡,Royal Castle,Poland
伦茨堡城堡,Schloss Lenzburg,Switzerland
阿克斯胡斯城堡,Akershus Fortress,Norway
卡爾馬城堡,Kalmar Castle,Sweden
迪歐斯捷爾城堡,Castle of Diósgyőr,Hungary
聖安德魯斯城堡,St Andrews Castle,United Kingdom
德文城堡,Devín Castle,Slovakia
利茲堡,Leeds Castle,United Kingdom
星星夏宫,Letohrádek Hvězda,Czech Republic
帕雷歐羅加堡,Q18416888,Italy
米德爾赫姆城堡,Middleham Castle,United Kingdom
克罗城堡,Château de la Croë,France
康城城堡,Castle of Caen,France
梅斯城堡,Château de Mousson,France
莱博德城堡,Château des Baux,France
布魯厄姆城堡,Brougham Castle,United Kingdom
勞瑞斯頓城堡,Lauriston Castle,United Kingdom
卡斯特霍爾姆城堡,Kastelholm Castle,Finland
维登大街,Wiedner Hauptstraße,Austria
阿爾哈發利亞宮,Aljafería,Spain
巴拉德罗城堡,Castello Baradello,Italy
奧特蘭托堡,Q3239505,Italy
庫雷薩雷城堡,Kuressaare Castle,Estonia
圣萨尔瓦多·德拉蓬塔城堡,San Salvador de la Punta Fortress,Cuba
名古屋城,Nagoya Castle,Japan
阿拉德古堡,Arad Fort,Bahrain
哈塞格城堡,Hasegg Castle,Austria
塔特歇爾城堡,Tattershall Castle,United Kingdom
林迪斯城堡,Lindisfarne Castle,United Kingdom
赫斯特蒙索城堡,Herstmonceux Castle,United Kingdom
盧布林城堡,Lublin Castle,Poland
亞喀巴城堡,Aqaba castle,Jordan
馬赫爾斯城堡,Muchalls Castle,United Kingdom
甲府城,Maizuru Castle Park,Japan
凱澤斯普法爾茨凱澤斯韋爾特,Q1721716,Germany
比爾城堡,Birr Castle,Ireland
馬克思城堡,Marksburg,Germany
罕索爾城堡,Hensol Castle,United Kingdom
安妮女王夏宫,Letohrádek královny Anny,Czech Republic
斯訥諾城堡,Q2663843,Slovakia
波吉亞堡 (特拉西梅諾),Q20009100,Italy
小田原城,Odawara Castle,Japan
拉塞博里城堡,Raseborg Castle,Finland
雷氏城堡,Wray Castle,United Kingdom
骑士堡,Krak des Chevaliers,Syria
博靈布羅克城堡,Bolingbroke Castle,United Kingdom
阿尔穆戴纳王宫,Royal Palace of La Almudaina,Spain
基德韋利城堡,Kidwelly Castle,United Kingdom
廬德蘭城堡,Rhuddlan Castle,United Kingdom
佩爾塔,Peel tower,United Kingdom
葛拉米城堡,Glamis Castle,United Kingdom
戈里齊亞城堡,Castle of Gorizia,Italy
格林扎內卡武爾城堡,Castle of Grinzane Cavour,Italy
罗卡斯卡雷尼亚城堡,Castello di Roccascalegna,Italy
聖喬吉奧堡(曼托瓦),Saint George Castle,Italy
牛津城堡,Oxford Castle,United Kingdom
瓦隆布罗萨城堡,Q2968014,France
雷托里城堡,Rocca dei Rettori,Italy
禮山山城,Yesan Mountain Fortress,South Korea
雷比城堡,Raby Castle,United Kingdom
普圖伊城堡,Ptuj Castle,Slovenia
藍麗城堡,Lumley Castle,United Kingdom
斯旺西城堡,Swansea Castle,United Kingdom
維維城堡,Castle of Vêves,Belgium
阿蘇夫,Arsuf,Israel
岡崎城,Okazaki Castle,Japan
斯皮什城堡,Spiš Castle,Slovakia
比伊城堡,Q2968708,France
洛林公爵城堡,Q2971580,France
考納斯城堡,Kaunas Castle,Lithuania
阿剌模忒堡,Alamut Castle,Iran
波定堡,Bodiam Castle,United Kingdom
凱瑟琳·德·美第奇的建築成就,Catherine de' Medici's building projects,France
采列城堡,Celje Castle,Slovenia
弗雷澤城堡,Castle Fraser,United Kingdom
貝爾法斯特城堡,Belfast Castle,United Kingdom
圣安德肋城堡,Fort Saint-André (Villeneuve-lès-Avignon),France
科赫姆城堡,Reichsburg Cochem,Germany
馬里博爾城堡,Maribor Castle,Slovenia
烏亞茲多夫城堡,Ujazdów Castle,Poland
梅斯佩爾布倫城堡,Mespelbrunn Castle,Germany
科斯萊斯滕城堡,Kieselstein Castle,Slovenia
阿布·古貝斯,Abu Qubays,Syria
赫弗城堡,Hever Castle,United Kingdom
基爾肯尼城堡,Kilkenny Castle,Ireland
苏瓦永城堡,Souaillon Castle,Switzerland
西里西亚俄斯特拉发城堡,Silesian Ostrava Castle,Czech Republic
科奇城堡,Castell Coch,United Kingdom
岡山城,Okayama Castle,Japan
海拉奈堡,Qasr Kharana,Jordan
埃庫昂城堡,château d'Écouen,France
保利纳堡垒,Q3437424,Italy
佩特魯伊亞堡,Castello di Petroia,Italy
卡巴拉城堡,Čabraď Castle,Slovakia
阿格斯泰因城堡,Burgruine Aggstein,Austria
卡爾迪科特城堡,Caldicot Castle,United Kingdom
Hattonchâtel城堡,Château de Hattonchâtel,France
马尔默城堡,Malmö Castle,Sweden
拉格蘭城堡,Raglan Castle,United Kingdom
瑞巖城堡,Rayen Castle,Iran
布雷斯特堡,Château de Brest,France
羅迪戈堡,Q16538138,Italy
乌尔西诺城堡,Castello Ursino,Italy
桑德爾城堡,Sandal Castle,United Kingdom
毕尼霍尔城堡,Château de Pignerolle,France
蘭卡斯特城堡,Lancaster Castle,United Kingdom
鄧巴城堡,Dunbar Castle,United Kingdom
萊里亞城堡,Leiria Castle,Portugal
紐卡斯爾城,"The Castle, Newcastle",United Kingdom
克萊沃城堡,Clervaux Castle,Luxembourg
博克砲台,Bock,Luxembourg
聖馬利諾三塔,The Three Towers of San Marino,San Marino
維爾紐斯城堡建築群,Vilnius Castle Complex,Lithuania
田原城 (三河國),Tahara Castle,Japan
吉马良斯城堡,Guimarães Castle,Portugal
德羅特寧謝爾要塞,Q10477004,Sweden
琉球王國的城堡以及相關遺產群,Gusuku Sites and Related Properties of the Kingdom of Ryukyu,Japan
科隆比耶城堡,Colombier Castle,Switzerland
松本城,Matsumoto Castle,Japan
諾丁漢城,Nottingham Castle,United Kingdom
下諾夫哥羅德克里姆林,Nizhny Novgorod Kremlin,Russia
奇克城堡,Chirk Castle,United Kingdom
艾蓋茲城堡,Château d'Aiguèze,France
圖賽城堡,Château de Troussay,France
普雷斯-波爾城堡,Château du Plessis-Bourré,France
格罗德诺旧城堡,Old Hrodna Castle,Belarus
睡公主城堡,Sleeping Beauty Castle,United States of America
萊斯特城堡,Leicester Castle,United Kingdom
國王岩堡壘,Königstein Fortress,Germany
蒙特城堡,Castel del Monte,Italy
圣沙尔蒂耶城堡,Q2970504,France
埃皮城堡,Q2968388,France
莫伊兰德城堡,Moyland Castle,Germany
貝納克城堡,Château de Beynac,France
维特雷城堡,Château de Vitré,France
瓦朗然城堡,Valangin Castle,Switzerland
安傑拉的博羅梅奧堡,Rocca Borromeo di Angera,Italy
克雷斯城堡,Crathes Castle,United Kingdom
馬德里皇家城堡,Royal Alcazar of Madrid,Spain
英國城堡,Q2640864,France
波伊斯城堡,Powys Castle,United Kingdom
