label,entityLabel,countryLabel
沃金區,Woking,United Kingdom
富勒姆都會自治市,Metropolitan Borough of Fulham,United Kingdom
巴特西都會自治市,Metropolitan Borough of Battersea,United Kingdom
斯托克紐因頓都會自治市,Metropolitan Borough of Stoke Newington,United Kingdom
貝斯納爾格林都會自治市,Metropolitan Borough of Bethnal Green,United Kingdom
蘭貝斯都會自治市,Metropolitan Borough of Lambeth,United Kingdom
桑德蘭市,City of Sunderland,United Kingdom
聖休拔區,Saint-Hubert,Canada
薩里希思,Surrey Heath,United Kingdom
葛拉斯堡罗,Glassboro,United States of America
北坡自治市鎮,North Slope Borough,United States of America
希庫蒂米,Chicoutimi,Canada
南華克都會自治市,Metropolitan Borough of Southwark,United Kingdom
索利赫爾區,Solihull,United Kingdom
桑莫維爾,Somerville,United States of America
伊靈斯頓都會自治市,Metropolitan Borough of Islington,United Kingdom
威斯敏斯特都會自治市,Metropolitan Borough of Westminster,United Kingdom
拉姆森 (新澤西州),Rumson,United States of America
法明代爾 (新澤西州),"Farmingdale, New Jersey",United States of America
英吉利敦 (新澤西州),Englishtown,United States of America
北雅加達,North Jakarta,Indonesia
西雅加達,Jakarta Barat,Indonesia
羅瑟勒姆都市自治市,Rotherham,United Kingdom
埃普瑟姆-尤厄爾,Epsom and Ewell,United Kingdom
伍德拜恩,"Woodbine, New Jersey",United States of America
漢普斯特德都會自治市,Metropolitan Borough of Hampstead,United Kingdom
Green Tree (賓夕凡尼亞州),Green Tree,United States of America
柏孟塞都會自治市,Metropolitan Borough of Bermondsey,United Kingdom
切爾西都會自治市,Metropolitan Borough of Chelsea,United Kingdom
旺茲沃思都會自治市,Metropolitan Borough of Wandsworth,United Kingdom
格林威治都會自治市,Metropolitan Borough of Greenwich,United Kingdom
漢默史密斯都會自治市,Metropolitan Borough of Hammersmith,United Kingdom
中雅加達,Central Jakarta,Indonesia
哈克尼都會自治市,Metropolitan Borough of Hackney,United Kingdom
東雅加達,East Jakarta,Indonesia
雅加達南區,South Jakarta,Indonesia
貝爾馬 (新澤西州),"Belmar, New Jersey",United States of America
韋斯特伍德 (新澤西州),Westwood,United States of America
拉欣,Lachine,Canada
霍本都會自治市,Metropolitan Borough of Holborn,United Kingdom
斯特普尼都會自治市,Metropolitan Borough of Stepney,United Kingdom
波普拉都會自治市,Metropolitan Borough of Poplar,United Kingdom
劉易舍姆都會自治市,Metropolitan Borough of Lewisham,United Kingdom
帕丁頓都會自治市,Metropolitan Borough of Paddington,United Kingdom
肖迪奇都會自治市,Metropolitan Borough of Shoreditch,United Kingdom
羅奇代爾都市自治市,Rochdale,United Kingdom
奧爾德姆都市自治市,Oldham,United Kingdom
諾斯利都市自治市,Knowsley,United Kingdom
奧克蘭 (新澤西州),Oakland,United States of America
伍爾維奇都會自治市,Metropolitan Borough of Woolwich,United Kingdom
泰斯特河谷,Test Valley,United Kingdom
坎伯威爾都會自治市,Metropolitan Borough of Camberwell,United Kingdom
新米爾福德,New Milford,United States of America
達靈頓區,Darlington,United Kingdom
芬司伯里都會自治市,Metropolitan Borough of Finsbury,United Kingdom
