label,entityLabel,countryLabel
芬蘭市鎮,municipality of Finland,Finland
市镇,municipality of Germany,Germany
市镇,comune of Italy,Italy
市镇,municipality of Brazil,Brazil
村,village-level division in China,People's Republic of China
大字,ōaza,Japan
町,town of Japan,Japan
支線鐵道,branch line,Netherlands
市镇,municipality of Austria,Austria
支線鐵道,branch line,Germany
市級鎮,urban-type settlement,Russia
市級鎮,urban-type settlement,Ukraine
市級鎮,urban-type settlement,Azerbaijan
市級鎮,urban-type settlement,Belarus
市級鎮,urban-type settlement,Georgia
行政鎮區,civil township,United States of America
市級鎮,urban-type settlement,Soviet Union
美國國家森林公園,United States National Forest,United States of America
國家自然與風景河流組織,National Wild and Scenic River,United States of America
法国市镇,commune of France,France
美國城市,city of the United States,United States of America
省分,province of Ethiopia,Ethiopia
埃及神廟,Egyptian temple,ancient Egypt
俄罗斯联邦直辖市,federal city of Russia,Russia
關帝廟,Temple of Kwan Tai,Taiwan
關帝廟,Temple of Kwan Tai,People's Republic of China
智慧型交流道,Smart interchange,Japan
斯圖加特21,Stuttgart 21,Germany
F-16戰隼戰鬥機,F-16 Fighting Falcon,United States of America
市辖区,Raions of cities in Ukraine,Ukraine
荷蘭省級政治,province of the Netherlands,Netherlands
印度理工學院,Indian Institutes of Technology,India
A355公路,Zone 3 A road,United Kingdom
俄羅斯經濟地區,economic region of Russia,Russia
所屬市政府,municipality of Bolivia,Bolivia
中核市,core city of Japan,Japan
韓國高速公路,Expressways in South Korea,South Korea
艾塞克斯級航空母艦,Essex-class aircraft carrier,United States of America
斯洛文尼亚统计区列表,statistical region of Slovenia,Slovenia
高規格幹線道路,Q11672839,Japan
欧洲高速公路,international E-road network,Belgium
欧洲高速公路,international E-road network,Denmark
欧洲高速公路,international E-road network,Estonia
欧洲高速公路,international E-road network,France
欧洲高速公路,international E-road network,Kazakhstan
欧洲高速公路,international E-road network,United Kingdom
欧洲高速公路,international E-road network,Kyrgyzstan
欧洲高速公路,international E-road network,Ireland
欧洲高速公路,international E-road network,Netherlands
欧洲高速公路,international E-road network,Turkey
欧洲高速公路,international E-road network,Russia
欧洲高速公路,international E-road network,Ukraine
欧洲高速公路,international E-road network,Armenia
欧洲高速公路,international E-road network,Albania
欧洲高速公路,international E-road network,Austria
欧洲高速公路,international E-road network,Germany
欧洲高速公路,international E-road network,Italy
欧洲高速公路,international E-road network,Azerbaijan
欧洲高速公路,international E-road network,Belarus
欧洲高速公路,international E-road network,Montenegro
欧洲高速公路,international E-road network,Georgia
欧洲高速公路,international E-road network,Portugal
欧洲高速公路,international E-road network,Switzerland
欧洲高速公路,international E-road network,Croatia
欧洲高速公路,international E-road network,Bosnia and Herzegovina
欧洲高速公路,international E-road network,Spain
欧洲高速公路,international E-road network,Norway
欧洲高速公路,international E-road network,Hungary
欧洲高速公路,international E-road network,Sweden
欧洲高速公路,international E-road network,Latvia
欧洲高速公路,international E-road network,Poland
欧洲高速公路,international E-road network,Tajikistan
欧洲高速公路,international E-road network,Kosovo
欧洲高速公路,international E-road network,Lithuania
欧洲高速公路,international E-road network,Moldova
欧洲高速公路,international E-road network,Slovakia
欧洲高速公路,international E-road network,Bulgaria
大学校,grande école,France
欧洲高速公路,international E-road network,Finland
欧洲高速公路,international E-road network,Uzbekistan
紐約市行政區,borough of New York City,United States of America
卡塔尔行政区划,municipality of Qatar,Qatar
欧洲高速公路,international E-road network,Serbia
欧洲高速公路,international E-road network,Czech Republic
欧洲高速公路,international E-road network,Greece
欧洲高速公路,international E-road network,Turkmenistan
欧洲高速公路,international E-road network,Romania
州辖市,city of regional significance of Ukraine,Ukraine
农村居民点,rural settlement of Russia,Russia
欧洲高速公路,international E-road network,Luxembourg
巴拿馬行政區劃,province of Panama,Panama
馬其頓統計區,statistical region of Macedonia,Republic of Macedonia
智利省份,province of Chile,Chile
欧洲高速公路,international E-road network,Slovenia
小型风帆战船,sloop-of-war,Norway
克羅埃西亞行政區劃,county of Croatia,Croatia
欧洲高速公路,international E-road network,Republic of Macedonia
哥斯达黎加行政区划,province of Costa Rica,Costa Rica
自治区 (墨西哥),municipality of Mexico,Mexico
塞浦路斯行政区划,district of Cyprus,Cyprus
村 (美國),village in the United States,United States of America
印度尼西亚省,province of Indonesia,Indonesia
登錄建築,listed building in the United Kingdom,United Kingdom
县,county of the United States,United States of America
俄罗斯市政区,municipal district in Russia,Russia
江西省道,Jiangxi provincial roads,People's Republic of China
A416公路,Zone 4 A road,United Kingdom
四川省道,Sichuan provincial roads,People's Republic of China
邑 (韓國),eup,North Korea
以色列行政区划,district of Israel,Israel
柬埔寨省份,province of Cambodia,Cambodia
領銜堂區,titular church,Italy
县,county of Iran,Iran
行政建制镇,town in China,People's Republic of China
巴黎行政区,administrative quarter of Paris,France
鼓楼,drum tower,People's Republic of China
县,comarca of Spain,Spain
市镇,municipality of Spain,Spain
邑 (韓國),eup,South Korea
波多黎各城市,municipality of Puerto Rico,United States of America
美國大學列表,colleges and universities in the United States,United States of America
克利夫蘭級輕巡洋艦,Cleveland class cruiser,United States of America
约克城级航空母舰,Yorktown-class aircraft carrier,United States of America
比利時省,province of Belgium,Belgium
政令指定都市,city designated by government ordinance,Japan
太平洋海岸山脈,Pacific Coast Ranges,Mexico
太平洋海岸山脈,Pacific Coast Ranges,Canada
中华人民共和国高速公路,Expressways of China,People's Republic of China
地區 (匈牙利),planning and statistical region of Hungary,Hungary
浅滩,ford,Latvia
太平洋海岸山脈,Pacific Coast Ranges,United States of America
美國國道,United States Numbered Highways,United States of America
齊柏林伯爵級航空母艦,Graf Zeppelin-class aircraft carrier,Nazi Germany
巴西地理分区,region of Brazil,Brazil
英國皇家空軍基地,Royal Air Force station,United Kingdom
道之驛,roadside station in Japan,Japan
土耳其浴,Turkish bath,Turkey
市 (波蘭),urban municipality of Poland,Poland
古巴行政区划,province of Cuba,Cuba
菲律宾省,province of the Philippines,Philippines
州際公路系統,Interstate Highway System,United States of America
"Köping, Sweden",köping,Sweden
小行政單位,minor civil division,United States of America
古希臘神廟,ancient Greek temple,ancient Greece
非牟利醫院,non-profit hospital,United States of America
特例市,special city of Japan,Japan
百區,hundred,Denmark
百區,hundred,United Kingdom
土耳其的大都會市,metropolitan municipality in Turkey,Turkey
倫敦地鐵車站,London Underground station,United Kingdom
百區,hundred,Norway
百區,hundred,Sweden
百區,hundred,Iceland
百區,hundred,Finland
肯尼亚行政区划,province of Kenya,Kenya
尼加拉瓜城市列表,municipality of Nicaragua,Nicaragua
星巴克,Starbucks,United States of America
土耳其省,province of Turkey,Turkey
國家歷史遺址,National Historic Site,United States of America
伊朗省份,province of Iran,Iran
埃及金字塔,Egyptian pyramids,Egypt
美國國家自然地標,National Natural Landmark,United States of America
泰國行政區劃,province of Thailand,Thailand
美國風景道路,National Scenic Byway,United States of America
宋井,Song Wells,People's Republic of China
外萊塔尼亞,Transleithania,Austria-Hungary
台灣日治時期行政區劃,Administrative divisions of Taiwan under Japanese rule,Taiwan under Japanese rule
中国省份,province of China,People's Republic of China
芬蘭公路,main road,Finland
塞爾維亞行政區劃,district of Serbia,Serbia
江苏省高速公路,Expressways of Jiangsu,People's Republic of China
县,rural district of Germany,Germany
意大利省份列表,province of Italy,Italy
意大利行政區劃,region of Italy,Italy
西班牙的自治區,autonomous community of Spain,Spain
寺庙,Chinese temple,Taiwan
寺庙,Chinese temple,People's Republic of China
Mine Train,Mine Train,Netherlands
瑞典舊省,historical province of Sweden,Sweden
加蓬行政区划,province of Gabon,Gabon
國家風景區步道,National Scenic Trail,United States of America
產業聚集,business cluster in France,France
堂区,freguesia,Portugal
加拿大行政区划,province or territory of Canada,Canada
克羅埃西亞鄉鎮列表,municipality of Croatia,Croatia
Whole Foods Market,Whole Foods Market,United States of America
副省级市,sub-province-level division,People's Republic of China
秘鲁大区,region of Peru,Peru
烏克蘭的州,oblast of Ukraine,Ukraine
希臘市鎮,municipality of Greece,Greece
厄瓜多尔行政区划,province of Ecuador,Ecuador
伯利兹行政区划,district of Belize,Belize
Zweefapollo,Zweefapollo,Netherlands
巴朗圭,barangay,Philippines
海外集體,overseas collectivity,France
安哥拉行政區劃,province of Angola,Angola
澳大利亞聯邦下議院選舉分區,division of the Australian House of Representatives,Australia
区,District of China,People's Republic of China
阿根廷行政区划,province of Argentina,Argentina
绊脚石,Stolpersteine,Netherlands
绊脚石,Stolpersteine,Germany
绊脚石,Stolpersteine,Hungary
Chuck Wagon,Chuck Wagon,Netherlands
乌拉圭行政区划,department of Uruguay,Uruguay
凯撒级战列舰,Kaiser-class battleship,Germany
捷克州,region of the Czech Republic,Czech Republic
芬蘭省份,province of Finland,Finland
都道府縣,prefecture of Japan,Japan
德國二戰時期驅逐艦,Type 1934 class destroyer,Germany
卢森堡政区,district of Luxembourg,Luxembourg
北愛爾蘭六大郡,county of Northern Ireland,United Kingdom
Kiosk,Kiosk,Japan
瑞典省份,county of Sweden,Sweden
四川高速公路,expressways in Sichuan,People's Republic of China
山東高速公路,expressways in Shandong,People's Republic of China
韩国行政区划,administrative territorial entity of South Korea,South Korea
蒙特內哥羅行政區劃,municipality of Montenegro,Montenegro
沙恩霍斯特级战列巡洋舰,Scharnhorst-class battleship,Nazi Germany
塞爾維亞自治市,municipalities and cities of Serbia,Serbia
维也纳分区,district of Vienna,Austria
广东高速公路,expressways in Guangdong,People's Republic of China
广西高速公路,expressways in Guangxi,People's Republic of China
紐約級戰艦,New York class battleship,United States of America
浙江高速公路,expressways in Zhejiang,People's Republic of China
哈萨克斯坦行政区划,region of Kazakhstan,Kazakhstan
英國皇家屬地,British crown dependency,United Kingdom
愛爾蘭國會選區,constituency of the Parliament of Ireland,Kingdom of Ireland
市鎮 (盧森堡),municipality of Luxembourg,Luxembourg
芬兰行政区,region of Finland,Finland
瓦努阿图行政区划,province of Vanuatu,Vanuatu
英國選區,constituency in the United Kingdom,United Kingdom
奧斯陸級巡防艦,Oslo class frigate,Norway
Enterprise,Enterprise,Netherlands
江西省高速公路列表,expressways in Jiangxi,People's Republic of China
河南高速公路,expressways in Henan,People's Republic of China
尼泊爾縣份列表,district of Nepal,Nepal
公学,public school,United Kingdom
州,oblast of Russia,Russia
波蘭行政區劃,administrative territorial entity of Poland,Poland
中華民國區域立法委員選區,Republic of China legislative election district,Taiwan
书院,Academy (East Asia),People's Republic of China
卢旺达行政区划,province of Rwanda,Rwanda
秘魯省份,province of Peru,Peru
英格蘭都會郡和非都會郡,metropolitan or non-metropolitan county of England,United Kingdom
阿拉套,Alatau,Kazakhstan
阿拉套,Alatau,Kyrgyzstan
布隆迪行政区划,province of Burundi,Burundi
迈泰奥拉,Meteora,Greece
多米尼加共和国行政区划,province of the Dominican Republic,Dominican Republic
所罗门群岛行政区划,province of the Solomon Islands,Solomon Islands
阿拉套,Alatau,People's Republic of China
英國屬土,British Dependent Territory,United Kingdom
书院,Academy (East Asia),South Korea
苏里南行政区划,district of Suriname,Suriname
苏丹共和国行政区划,state of Sudan,Sudan
狼級魚雷艇,Type 24 torpedo boat,Nazi Germany
北京高速公路,Expressways of Beijing,People's Republic of China
S艇,E-boat,Germany
西班牙省份,province of Spain,Spain
選區,electoral district of Canada,Canada
行政區,administrative district of Prague,Czech Republic
所屬縣城,province of Bolivia,Bolivia
區 (韓國),district of South Korea,South Korea
美国领土,territory of the United States,United States of America
阿富汗行政區劃,province of Afghanistan,Afghanistan
泰國次級行政區劃,amphoe,Thailand
布蘭登堡級巡防艦,Brandenburg-class frigate,Germany
中国一级行政区,province-level division,People's Republic of China
马其顿共和国行政区划,municipality of the Republic of Macedonia,Republic of Macedonia
乌干达行政区划,district of Uganda,Uganda
實科中學,Realschule,Liechtenstein
實科中學,Realschule,Austria
實科中學,Realschule,Germany
實科中學,Realschule,Switzerland
市 (保加利亞),municipality of Bulgaria,Bulgaria
地方当局,county of Norway,Norway
喬氏超市,Trader Joe's,United States of America
国王级战列舰,König class battleship,German Empire
瓷磚畫,azulejo,People's Republic of China
俾斯麦级战列舰,Bismarck-class battleship,Nazi Germany
軍區 (德國),military district,Nazi Germany
乌兹别克斯坦行政区划,region of Uzbekistan,Uzbekistan
洛克希德文圖拉,Ventura,United States of America
1936年級驅逐艦,Type 1936-class destroyer,Germany
瑙鲁行政区划,district of Nauru,Nauru
南森級巡防艦,Fridtjof Nansen class frigate,Norway
行政区,Regierungsbezirk,Germany
南非行政区划,province of South Africa,South Africa
乐购,Tesco,United Kingdom
斯洛文尼亚行政区划,municipality of Slovenia,Slovenia
澳大利亞州暨領地下議院選區,state electoral district,Australia
不丹行政区划,district of Bhutan,Bhutan
巴布亚新几内亚省,province of Papua New Guinea,Papua New Guinea
莫桑比克行政区划,province of Mozambique,Mozambique
刚果民主共和国行政区划,province of the Democratic Republic of the Congo,Democratic Republic of the Congo
縣 (馬達加斯加),district of Madagascar,Madagascar
斯里兰卡县级行政区划,district of Sri Lanka,Sri Lanka
英國海外領土,British Overseas Territory,United Kingdom
白俄罗斯行政区划,region of Belarus,Belarus
西夫韦公司,Safeway Inc.,United States of America
伶俐級飛彈快艇,Snøgg-class missile torpedo boat,Norway
Fly Away,Fly Away,Belgium
阿尔及利亚行政区划,province of Algeria,Algeria
令制國,province of Japan,Japan
上海高速公路,Expressways of Shanghai,People's Republic of China
中国国家高速公路网,National Trunk Highway System,People's Republic of China
自治邦,unincorporated territory,United States of America
區 (斯洛伐克),district of Slovakia,Slovakia
边疆区,krai of Russia,Russia
希腊大区,administrative region of Greece,Greece
马来西亚县份,district of Malaysia,Malaysia
安徽高速公路,expressways in Anhui,People's Republic of China
法國美術學院,École des Beaux-Arts,France
布伦瑞克级轻型护卫舰,Braunschweig-class corvette,Germany
英格蘭的名譽郡,ceremonial county of England,United Kingdom
马达加斯加行政区划,province of Madagascar,Madagascar
赤道几内亚行政区划,province of Equatorial Guinea,Equatorial Guinea
县,district in Switzerland,Switzerland
广域市,metropolitan city of Italy,Italy
丹麦自治市,municipality of Denmark,Denmark
村,rural village,Taiwan
巴巴多斯行政区划,parish of Barbados,Barbados
I級潛艇,German Type I submarine,Germany
Nagashimasuka,Nagashimasuka,Japan
宁夏高速公路,expressways in Ningxia,People's Republic of China
赞比亚行政区划,administrative territorial entity of Zambia,Zambia
丹麥行政區劃,administrative territorial entity of Denmark,Denmark
伊拉克行政區劃,governorate of Iraq,Iraq
巴劳鱵级潜艇,Balao-class submarine,United States of America
哈萨克斯坦行政区划,administrative territorial entity of Kazakhstan,Kazakhstan
Ocean of Darkness,Ocean of Darkness,Netherlands
罗马尼亚行政区划,administrative territorial entity of Romania,Romania
海豚級潛艦,Daphné-class submarine,France
中華民國行政區劃,administrative territorial entity of the Republic of China,Taiwan
海軍空戰中心,Naval Air Warfare Center,United States of America
山西高速公路,expressways in Shanxi,People's Republic of China
区,raion of Ukraine,Ukraine
联邦属地,union territory of India,India
密克罗尼西亚联邦行政区划,administrative territorial entity of the Federated States of Micronesia,Federated States of Micronesia
英国行政区划,administrative territorial entity of the United Kingdom,United Kingdom
安道尔行政区划,parish of Andorra,Andorra
澳大利亚行政区划,administrative territorial entity of Australia,Australia
伊朗行政区划,administrative territorial entity of Iran,Iran
平板玻璃大学,plate glass university,United Kingdom
御城,gusuku,Japan
蒙古国行政区划,administrative territorial entity of Mongolia,Mongolia
沙特阿拉伯行政区划,administrative territorial entity of Saudi Arabia,Saudi Arabia
黎巴嫩行政区划,governorate of Lebanon,Lebanon
直轄殖民地,crown colony of the British Empire,United Kingdom
天津高速公路,expressways in Tianjin,People's Republic of China
基里巴斯行政区划,administrative territorial entity of Kiribati,Kiribati
萨尔瓦多行政区划,administrative territorial entity of El Salvador,El Salvador
朝鲜民主主义人民共和国行政区划,administrative territorial entity of North Korea,North Korea
陕西高速公路,expressways in Shaanxi,People's Republic of China
重庆高速公路,expressways in Chongqing,People's Republic of China
韓國一般國道,National highway of South Korea,South Korea
吉林省高速公路,expressways in Jilin,People's Republic of China
摩纳哥行政区划,administrative territorial entity of Monaco,Monaco
越南行政区划,administrative territorial entity of Vietnam,Vietnam
埃及行政区划,governorate of Egypt,Egypt
海南高速公路,expressways in Hainan,People's Republic of China
甘肃高速公路,expressways in Gansu,People's Republic of China
冰岛行政区划,administrative territorial entity of Iceland,Iceland
约旦行政区划,governorate of Jordan,Jordan
博茨瓦纳行政区划,administrative territorial entity of Botswana,Botswana
國民學校,Volksschule,Austria
柬埔寨行政区划,administrative territorial entity of Cambodia,Cambodia
英國自治市鎮地位,borough in the United Kingdom,United Kingdom
都市自治市,metropolitan borough,United Kingdom
乌兹别克斯坦行政区划,administrative territorial entity of Uzbekistan,Uzbekistan
缅甸行政区划,administrative territorial entity of Burma,Myanmar
牙买加行政区划,parish of Jamaica,Jamaica
史瓦濟蘭行政區劃,administrative territorial entity of Swaziland,Swaziland
高速自動車國道,National expressway,Japan
法国行政区划,administrative territorial entity of France,France
智利行政区划,administrative territorial entity of Chile,Chile
吉尔吉斯斯坦行政区划,administrative territorial entity of Kyrgyzstan,Kyrgyzstan
科威特行政区划,governorate of Kuwait,Kuwait
波士尼亞與赫塞哥維納政區,Political divisions of Bosnia and Herzegovina,Bosnia and Herzegovina
所屬鄉鎮,canton of Bolivia,Bolivia
塞内冈比亚石圈,Senegambian stone circles,Gambia
新加坡行政区划,administrative territorial entity of Singapore,Singapore
云南高速公路,expressways in Yunnan,People's Republic of China
俄罗斯行政区划,administrative territorial entity of Russia,Russia
U型潜艇,U-boat,Germany
汤加行政区划,administrative territorial entity of Tonga,Tonga
土库曼斯坦行政区划,administrative territorial entity of Turkmenistan,Turkmenistan
叙利亚行政区划,governorate of Syria,Syria
巴林行政区划,governorate of Bahrain,Bahrain
特别行政区,special administrative region,People's Republic of China
U型潜艇,U-boat,Weimar Republic
多米尼克行政区划,parish of Dominica,Dominica
阿拉伯联合酋长国行政区划,administrative territorial entity of the United Arab Emirates,United Arab Emirates
莱索托行政区划,administrative territorial entity of Lesotho,Lesotho
德意志民主共和國行政區劃,administrative territorial entity of East Germany,East Germany
U型潜艇,U-boat,German Empire
乌克兰行政区划,administrative territorial entity of Ukraine,Ukraine
U型潜艇,U-boat,Nazi Germany
波蘭立陶宛聯邦行政區劃,administrative territorial entity of the Polish–Lithuanian Commonwealth,Polish–Lithuanian Commonwealth
安地卡及巴布達行政區劃,parish of Antigua and Barbuda,Antigua and Barbuda
德國聯邦州首都,state capital in Germany,Germany
莫斯科行政區劃,administrative territorial entity of Moscow,Russia
音樂展演空間,live house,Japan
青海高速公路,expressways in Qinghai,People's Republic of China
甘比亞的一級行政區,administrative territorial entity of the Gambia,Gambia
佛得角行政区划,administrative territorial entity of Cape Verde,Cape Verde
中华人民共和国国道,China National Highways,People's Republic of China
一般國道自動車專用道路(A'),Q11672932,Japan
墨西哥行政區劃,administrative territorial entity of Mexico,Mexico
美國行政區劃,administrative territorial entity of the United States,United States of America
縣 (盧森堡),canton of Luxembourg,Luxembourg
摩尔多瓦行政区划,administrative territorial entity of Moldova,Moldova
日本民家,Minka,Japan
波兰省份,voivodeship of Poland,Poland
辽宁省高速公路,expressways in Liaoning,People's Republic of China
XXI級潛艇,Type XXI submarine,Germany
碑,stele,Egypt
苏联行政区划,administrative territorial entity of the Soviet Union,Soviet Union
圣基茨和尼维斯行政区划,parish of Saint Kitts and Nevis,Saint Kitts and Nevis
菲律宾行政区划,administrative territorial entity of the Philippines,Philippines
II級潛艇,Type II,Germany
南苏丹行政区划,administrative territorial entity of South Sudan,South Sudan
马来西亚行政区划,administrative territorial entity of Malaysia,Malaysia
巴基斯坦行政区划,administrative territorial entity of Pakistan,Pakistan
尼日利亚行政区划,administrative territorial entity of Nigeria,Nigeria
印度行政区划,administrative territorial entity of India,India
职业大学,vocational university,Germany
地域高規格道路,Regional High-Standard Highways in Japan,Japan
印度尼西亚行政区划,administrative territorial entity of Indonesia,Indonesia
阿曼行政区划,governorate of Oman,Oman
中华人民共和国行政区划,administrative territorial entity of the People's Republic of China,People's Republic of China
挪威行政區劃,administrative territorial entity of Norway,Norway
葡萄牙行政區劃,administrative territorial entity of Portugal,Portugal
贵州高速公路,expressways in Guizhou,People's Republic of China
科索沃行政區劃,administrative territorial entity of Kosovo,Kosovo
縣 (沙烏地阿拉伯),governorate of Saudi Arabia,Saudi Arabia
倫敦自治市,London borough,United Kingdom
街道办事处,subdistrict of China,People's Republic of China
索马里行政区划,administrative territorial entity of Somalia,Somalia
河北高速公路,expressways in Hebei,People's Republic of China
格陵兰行政区划,administrative territorial entity of Greenland,Denmark
拉脫維亞行政區劃,administrative territorial entity of Latvia,Latvia
日本行政區劃,administrative territorial entity of Japan,Japan
特魯洛,Trullo,Italy
塞舌尔行政区划,administrative territorial entity of Seychelles,Seychelles
人口普查都會區,census geographic unit of Canada,Canada
湖南高速公路,expressways in Hunan,People's Republic of China
Free Fall,Free Fall,Netherlands
斐济行政区划,administrative territorial entity of Fiji,Fiji
湖北高速公路,expressways in Hubei,People's Republic of China
福建省高速公路列表,expressways in Fujian,People's Republic of China
希腊行政区划,administrative territorial entity of Greece,Greece
海外省分,overseas department of France,France
格林纳达行政区划,parish of Grenada,Grenada
老挝行政区划,administrative territorial entity of Laos,Laos
瑞士行政區劃,canton of Switzerland,Switzerland
格鲁吉亚行政区划,administrative territorial entity of Georgia,Georgia
亞美尼亞行政區劃,administrative territorial entity of Armenia,Armenia
斯洛伐克行政區劃,administrative territorial entity of Slovakia,Slovakia
阿塞拜疆行政区划,administrative territorial entity of Azerbaijan,Azerbaijan
民政教區,civil parish,United Kingdom
京町家,Machiya in Kyoto,Japan
大學,university in France,France
德国行政区划,administrative territorial entity of Germany,Germany
微軟研究院,Microsoft Research,United States of America
马尔代夫行政区划,administrative territorial entity of the Maldives,Maldives
PlayStation,PlayStation,Japan
芬兰行政区划,administrative territorial entity of Finland,Finland
捷克行政区划,administrative territorial entity of the Czech Republic,Czech Republic
四合院,siheyuan,People's Republic of China
齊格菲級岸防戰艦,Siegfried class coastal defense ship,German Empire
州,vilayet of the Ottoman Empire,Ottoman Empire
乡,township in the United States,United States of America
縣 (阿根廷),department of Argentina,Argentina
马里行政区划,region of Mali,Mali
省,governorate,Russian Empire
香港政區,district of Hong Kong,People's Republic of China
特別自治市,special autonomous city in South Korea,South Korea
法蘭西殖民帝國,French colonial empire,France
